Entity,Code,Year,Deaths
Africa (UN),,1950,1863884
Africa (UN),,1951,1882222
Africa (UN),,1952,1902289
Africa (UN),,1953,1922249
Africa (UN),,1954,1939697
Africa (UN),,1955,1955525
Africa (UN),,1956,1971963
Africa (UN),,1957,2026278
Africa (UN),,1958,2040918
Africa (UN),,1959,2017539
Africa (UN),,1960,2038952
Africa (UN),,1961,2059315
Africa (UN),,1962,2085948
Africa (UN),,1963,2108811
Africa (UN),,1964,2129564
Africa (UN),,1965,2153323
Africa (UN),,1966,2194240
Africa (UN),,1967,2207272
Africa (UN),,1968,2229748
Africa (UN),,1969,2260117
Africa (UN),,1970,2289001
Africa (UN),,1971,2318765
Africa (UN),,1972,2357043
Africa (UN),,1973,2377167
Africa (UN),,1974,2427311
Africa (UN),,1975,2455827
Africa (UN),,1976,2451982
Africa (UN),,1977,2471046
Africa (UN),,1978,2491165
Africa (UN),,1979,2509286
Africa (UN),,1980,2530657
Africa (UN),,1981,2544968
Africa (UN),,1982,2558094
Africa (UN),,1983,2682759
Africa (UN),,1984,2689165
Africa (UN),,1985,2692189
Africa (UN),,1986,2678662
Africa (UN),,1987,2612575
Africa (UN),,1988,2706555
Africa (UN),,1989,2645420
Africa (UN),,1990,2668637
Africa (UN),,1991,2733525
Africa (UN),,1992,2753226
Africa (UN),,1993,2722892
Africa (UN),,1994,2756696
Africa (UN),,1995,2748900
Africa (UN),,1996,2769756
Africa (UN),,1997,2769706
Africa (UN),,1998,2786906
Africa (UN),,1999,2755602
Africa (UN),,2000,2738819
Africa (UN),,2001,2719982
Africa (UN),,2002,2697846
Africa (UN),,2003,2669466
Africa (UN),,2004,2639313
Africa (UN),,2005,2612990
Africa (UN),,2006,2577537
Africa (UN),,2007,2541487
Africa (UN),,2008,2511527
Africa (UN),,2009,2501511
Africa (UN),,2010,2448885
Africa (UN),,2011,2469816
Africa (UN),,2012,2379538
Africa (UN),,2013,2341130
Africa (UN),,2014,2336094
Africa (UN),,2015,2310844
Africa (UN),,2016,2275435
Africa (UN),,2017,2252168
Africa (UN),,2018,2182003
Africa (UN),,2019,2148083
Africa (UN),,2020,2094288.1
Africa (UN),,2021,2079690
Africa (UN),,2022,2095164
Africa (UN),,2023,2027521
